ADAM12 	Mesenchymal 
ADAMTS12 	Mesenchymal 
ADAMTS2 	Mesenchymal 
AEBP1 	Mesenchymal 
ANGPTL2 	Mesenchymal 
ANTXR1 	Mesenchymal 
AP1G1 	Epithelial 
ATP8B1 	Epithelial 
AXL 	Mesenchymal 
BNC2 	Mesenchymal 
CALD1 	Mesenchymal 
CDH1 	Epithelial 
CDH2 	Mesenchymal 
CDS1 	Epithelial 
CGN 	Epithelial 
CLDN4 	Epithelial 
CMTM3 	Mesenchymal 
CNOT1 	Epithelial 
CNRIP1 	Mesenchymal 
COL10A1 	Mesenchymal 
COL1A1 	Mesenchymal 
COL1A2 	Mesenchymal 
COL3A1 	Mesenchymal 
COL5A1 	Mesenchymal 
COL5A2 	Mesenchymal 
COL6A1 	Mesenchymal 
COL6A2 	Mesenchymal 
COL6A3 	Mesenchymal 
COL8A1 	Mesenchymal 
CTNND1 	Epithelial 
DACT1 	Mesenchymal 
DYNC1LI2	Epithelial 
EMP3 	Mesenchymal 
ERBB3 	Epithelial 
ESRP1 	Epithelial 
ESRP2 	Epithelial 
F11R 	Epithelial 
FAP 	Mesenchymal 
FBN1 	Mesenchymal 
FN1 	Mesenchymal 
FSTL1 	Mesenchymal 
GALNT3 	Epithelial 
GPC6 	Mesenchymal 
GPR56 	Epithelial 
GRHL2 	Epithelial 
GYPC 	Mesenchymal 
HOOK1 	Epithelial 
HTRA1 	Mesenchymal 
INHBA 	Mesenchymal 
IRF6 	Epithelial 
ITGA11 	Mesenchymal 
LOXL2 	Mesenchymal 
LRRC15 	Mesenchymal 
MAP7 	Epithelial 
MARVELD2 	Epithelial 
MARVELD3 	Epithelial 
MMP2 	Mesenchymal 
MSRB3 	Mesenchymal 
MYO5B 	Epithelial 
NAP1L3 	Mesenchymal 
NID2 	Mesenchymal 
OCLN 	Epithelial 
OLFML2B 	Mesenchymal 
PCOLCE 	Mesenchymal 
PDGFRB 	Mesenchymal 
PMP22 	Mesenchymal 
POSTN 	Mesenchymal 
PRSS8 	Epithelial 
SPARC 	Mesenchymal 
SPINT1 	Epithelial 
SPOCK1 	Mesenchymal 
SULF1 	Mesenchymal 
SYT11 	Mesenchymal 
THBS2 	Mesenchymal 
VCAN 	Mesenchymal 
VIM 	Mesenchymal 
ZEB2 	Mesenchymal 
