gene	type
DCN	Stromal
PAPPA	Stromal
SFRP4	Stromal
THBS2	Stromal
LY86	Stromal
CXCL14	Stromal
FOXF1	Stromal
COL10A1	Stromal
ACTG2	Stromal
APBB1IP	Stromal
SH2D1A	Stromal
SULF1	Stromal
MSR1	Stromal
C3AR1	Stromal
FAP	Stromal
PTGIS	Stromal
ITGBL1	Stromal
BGN	Stromal
CXCL12	Stromal
ECM2	Stromal
FCGR2A	Stromal
MS4A4A	Stromal
WISP1	Stromal
COL1A2	Stromal
MS4A6A	Stromal
EDNRA	Stromal
VCAM1	Stromal
GPR124	Stromal
SCUBE2	Stromal
AIF1	Stromal
HEPH	Stromal
LUM	Stromal
PTGER3	Stromal
RUNX1T1	Stromal
CDH5	Stromal
PIK3R5	Stromal
RAMP3	Stromal
LDB2	Stromal
COX7A1	Stromal
EDIL3	Stromal
DDR2	Stromal
FCGR2B	Stromal
LPPR4	Stromal
COL15A1	Stromal
AOC3	Stromal
ITIH3	Stromal
FMO1	Stromal
PRKG1	Stromal
PLXDC1	Stromal
VSIG4	Stromal
COL6A3	Stromal
SGCD	Stromal
COL3A1	Stromal
F13A1	Stromal
OLFML1	Stromal
IGSF6	Stromal
COMP	Stromal
HGF	Stromal
GIMAP5	Stromal
ABCA6	Stromal
ITGAM	Stromal
MAF	Stromal
ITM2A	Stromal
CLEC7A	Stromal
ASPN	Stromal
LRRC15	Stromal
ERG	Stromal
CD86	Stromal
TRAT1	Stromal
COL8A2	Stromal
TCF21	Stromal
CD93	Stromal
CD163	Stromal
GREM1	Stromal
LMOD1	Stromal
TLR2	Stromal
ZEB2	Stromal
C1QB	Stromal
KCNJ8	Stromal
KDR	Stromal
CD33	Stromal
RASGRP3	Stromal
TNFSF4	Stromal
CCR1	Stromal
CSF1R	Stromal
BTK	Stromal
MFAP5	Stromal
MXRA5	Stromal
ISLR	Stromal
ARHGAP28	Stromal
ZFPM2	Stromal
TLR7	Stromal
ADAM12	Stromal
OLFML2B	Stromal
ENPP2	Stromal
CILP	Stromal
SIGLEC1	Stromal
SPON2	Stromal
PLXNC1	Stromal
ADAMTS5	Stromal
SAMSN1	Stromal
CH25H	Stromal
COL14A1	Stromal
EMCN	Stromal
RGS4	Stromal
PCDH12	Stromal
RARRES2	Stromal
CD248	Stromal
PDGFRB	Stromal
C1QA	Stromal
COL5A3	Stromal
IGF1	Stromal
SP140	Stromal
TFEC	Stromal
TNN	Stromal
ATP8B4	Stromal
ZNF423	Stromal
FRZB	Stromal
SERPING1	Stromal
ENPEP	Stromal
CD14	Stromal
DIO2	Stromal
FPR1	Stromal
IL18R1	Stromal
HDC	Stromal
TXNDC3	Stromal
PDE2A	Stromal
RSAD2	Stromal
ITIH5	Stromal
FASLG	Stromal
MMP3	Stromal
NOX4	Stromal
WNT2	Stromal
LRRC32	Stromal
CXCL9	Stromal
ODZ4	Stromal
FBLN2	Stromal
EGFL6	Stromal
IL1B	Stromal
SPON1	Stromal
CD200	Stromal
LCP2	Immune
LSP1	Immune
FYB	Immune
PLEK	Immune
HCK	Immune
IL10RA	Immune
LILRB1	Immune
NCKAP1L	Immune
LAIR1	Immune
NCF2	Immune
CYBB	Immune
PTPRC	Immune
IL7R	Immune
LAPTM5	Immune
CD53	Immune
EVI2B	Immune
SLA	Immune
ITGB2	Immune
GIMAP4	Immune
MYO1F	Immune
HCLS1	Immune
MNDA	Immune
IL2RG	Immune
CD48	Immune
AOAH	Immune
CCL5	Immune
LTB	Immune
GMFG	Immune
GIMAP6	Immune
GZMK	Immune
LST1	Immune
GPR65	Immune
LILRB2	Immune
WIPF1	Immune
CD37	Immune
BIN2	Immune
FCER1G	Immune
IKZF1	Immune
TYROBP	Immune
FGL2	Immune
FLI1	Immune
IRF8	Immune
ARHGAP15	Immune
SH2B3	Immune
TNFRSF1B	Immune
DOCK2	Immune
CD2	Immune
ARHGEF6	Immune
CORO1A	Immune
LY96	Immune
LYZ	Immune
ITGAL	Immune
TNFAIP3	Immune
RNASE6	Immune
TGFB1	Immune
PSTPIP1	Immune
CST7	Immune
RGS1	Immune
FGR	Immune
SELL	Immune
MICAL1	Immune
TRAF3IP3	Immune
ITGA4	Immune
MAFB	Immune
ARHGDIB	Immune
IL4R	Immune
RHOH	Immune
HLA-DPA1	Immune
NKG7	Immune
NCF4	Immune
LPXN	Immune
ITK	Immune
SELPLG	Immune
HLA-DPB1	Immune
CD3D	Immune
CD300A	Immune
IL2RB	Immune
ADCY7	Immune
PTGER4	Immune
SRGN	Immune
CD247	Immune
CCR7	Immune
MSN	Immune
ALOX5AP	Immune
PTGER2	Immune
RAC2	Immune
GBP2	Immune
VAV1	Immune
CLEC2B	Immune
P2RY14	Immune
NFKBIA	Immune
S100A9	Immune
IFI30	Immune
MFSD1	Immune
RASSF2	Immune
TPP1	Immune
RHOG	Immune
CLEC4A	Immune
GZMB	Immune
PVRIG	Immune
S100A8	Immune
CASP1	Immune
BCL2A1	Immune
HLA-E	Immune
KLRB1	Immune
GNLY	Immune
RAB27A	Immune
IL18RAP	Immune
TPST2	Immune
EMP3	Immune
GMIP	Immune
LCK	Immune
IL32	Immune
PTPRCAP	Immune
LGALS9	Immune
CCDC69	Immune
SAMHD1	Immune
TAP1	Immune
GBP1	Immune
CTSS	Immune
GZMH	Immune
ADAM8	Immune
GLRX	Immune
PRF1	Immune
CD69	Immune
HLA-B	Immune
HLA-DMA	Immune
CD74	Immune
KLRK1	Immune
PTPRE	Immune
HLA-DRA	Immune
VNN2	Immune
TCIRG1	Immune
RABGAP1L	Immune
CSTA	Immune
ZAP70	Immune
HLA-F	Immune
HLA-G	Immune
CD52	Immune
CD302	Immune
CD27	Immune
